,房屋租住链接,房屋描述,房屋地址,房屋详情（户型）以及经纪人,房屋价格
0,https://wh.zu.anjuke.com/fangyuan/2111194442439684?isauction=2&shangquan_id=4557&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKnWELn19vrjEOPHnvPkDKnWDQnHDOPjEYnWE1rHm3PTDQrHTknTDQrHTknTDQsjDkTHDdrTDQPWc3PWmLnWTznW9zTHDKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnHEzPHcvPj0LnWNLnHELPHbvrEDvTEDQTy7-uyFhP1bOsyPhuHnVPAnOnidBmvcQsH9kPHNOuHm3uhEzrTDQPjcdnWmYP10Yn1bQrjT1rHTYTHDYnWNzPWELP1EzP1E1PWn1rHcKTHD_nHTKTEDKsEDKTEDKnHDQsWnLsWDzna3Qnj9KnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKP1Eznj9drj9VPHKBmzYYPhDzsycvmHcVnWTQnyFWuAFhrH6hTEDYTEDKnTDQPH9_nHmdsjEdPH0KnE78IyQ_TymOnyubnWF-uA7hmhmOPhc&lego_tid=74208588-50bc-46a2-b6a2-2011bcdbf98f,房.东直租 无中介包物业 光谷步行街2室2卫 押一付一可谈,世界城香榭丽舍  洪山-关山关山路27号,2室2厅|99平米|中层(共28层) 马松柏,3200
1,https://wh.zu.anjuke.com/fangyuan/2111323832016908?isauction=2&shangquan_id=4557&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKnWEdrjbYn1ELnHD1njcKTHcQnHD1nWn3n1cknHmOnj9KnHn1njTKnHn1njTKnikQnTDQPH9KnHmzrjmvP1cknWc3n9DzTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHDYnWNzP103nj9knHN1nHbkPjDKP9DKnE7WnHTkPHNzuaYdPWDOsHw-PHcVmH6-mBYvuyFBuHu6uyczPjmKnHEzPHcLP19krjnOnW9QnjEOP9DQPjcdnW0LrjT3nWbznHELnWTkTEDQsjDkTEDKTiYKTEDKTHDQni31Pz3QnWT8nHT3THTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTHKWuymdPhw-sHEYmWnVPjnOnBY3nHEQsHDLrAE1rjPbPWR6PTDKPTDKTHTKnHN3sjDvPikYPHNLTHDKUMR_UTDvnWK6P1ELPHbdnhEkuhnL&lego_tid=0cef56de-44b3-4392-8141-178d383d65a4,光谷青年城超大一居室，现代清新装修风格！实图 实地拍摄视频,光谷青年城(一期)  洪山-关山新竹路5号,1室1厅|69平米|低层(共33层) 王恒,2200
2,https://wh.zu.anjuke.com/fangyuan/2024940766731276?isauction=2&shangquan_id=32895&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKP1bOPjNkPWNQnHNLnjcKTHcknWEOPjTLPWmLn1DzP1mKnHTvnjTKnHTvnjTKnikQnTDQPH9KnHmzrjmvP1cknWc3n9D1TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHDYnWN1nWDOnj0dPWb1nj0vPj9KP9DKnEDLmvmYPynOPBYYrynOsHwBPycVmH6-nBdBPWKbPW01m1TQP1EKnHEzPHnznHbkrHNvrHb3PWNvnTDQPjcdn1cQrHTOPjmkrHn3P1NzTEDQsjDkTEDKTiYKTEDKTHDQni31Pz3QnWT8nHT3THTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTyDYPHF-nHbYsyuBP1TVPjTknidBmvuWsywWnvRbmWFhPHuBu9DKPTDKTHTKnHN3sjDvPik1nW9OPEDQTyOdUAkKmW-hPH7bujN1myNknHmYnk&lego_tid=a452e194-fb70-4001-bcfc-dc3edb2f56bf,8号线 徐东地铁站 万利花园 欧洲时尚 销品茂 群星城 直租,金银岛花园  洪山-铁机路徐东大街41号,2室1厅|80平米|中层(共12层) 陈智昌,2400
3,https://wh.zu.anjuke.com/fangyuan/2116529518370824?isauction=2&shangquan_id=32455&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKn1bLrj0knWDQnjckrH9KTHcQnHmdnWbdnH91P1T3nWEKrH9knTDOrjTkTHD_nHTKnHN3THDvnW9vPW0znjczrjnKPT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQPjcdn1n1n1n3rjTkrHczPWcYTHmKTHDKPyNzuW9QPyEVrjPbnzYYrynLsH9OmWcVnHnznHcOmHEdnHcYTHDYnWN1n1n1PjTQPj0zrHEznj9KnHEzPHn1n1nYnjTdnj9zPHcQP9DKnikQnTDKTEDVTEDKTEDQnHD8n108nHcksWDkrTDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTDQPWbQmHIWraYvnH0QsHEOPWNVmyEzmzdbPju-PvP6uHb3rAnKTHEKTEDkTHDdrakQPWN_n1cYPHNKnE78IyQ_TyEkmHKhmWT1nvnkmhnknHb&lego_tid=1691a7c8-6171-4965-ad2c-d46e7cae988c,光谷天地 软件园 新发展 融科天域 精装2房 坐标城 武职,融科天域  洪山-光谷软件园关山大道,2室2厅|87.3平米|中层(共33层) 夏若轩,3000
4,https://wh.zu.anjuke.com/fangyuan/2116395625717771?isauction=2&shangquan_id=32455&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKrjDkPHmYPWTkrjTvP1EKTHcQnHm1rHNvnWNLnH0LP1DKrH9knTDOrjTkTHD_nHTKnHN3THDvnW9vPW0znjczrjnKPE7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQPjcdnWmYnHEzPH0YPjc3nHmkTHmKTHDKPHT3uHDYn1TVnAnkPaYYmyDLsH-BrjNVP1w6rjckmWEYmHRWTHDYnWNzPWEQPjn3rHNvn19knHmKnHEzPHcvPjDYn19kn1nvn1nzrTDKnikQnTDKTEDVTEDKTEDQnHD8n108nHcksWDkrTDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPTD3mhF-uy7bmzdbmHNzsHw-uynVmyw-PzYQrHT1rAm1uWT3nhEKTHEKTEDkTHDdrakQPWN_n1cYPHNKnE78IyQ_THNvPynQryDdmvP-mynOrAE&lego_tid=8bbeeadc-da52-4eec-ade7-19038f3f082d,冠寓|2号线地铁口黄龙山|软件园|武汉东站旁|金融港|无中介,关南社区  洪山-光谷软件园高新二路552号,1室1厅|35平米|高层(共11层) 何锐,1658
5,https://wh.zu.anjuke.com/fangyuan/2082937252684814?isauction=2&shangquan_id=32895&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKP1NzPWD3rHD1nWbdPWEKTHckrjcOn10zPHcvrjE3nHEKnHTvnjTKnHTvnjTKnikQnTDQPH9KnHmzrjmvP1cknWc3nkDvTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHDYnWNzP10YPj93PHc3P1nznH0KP9DKnEDdm19dnHT1PBdbmWuhsHE1uhEVrA76uad6PjbdPWT1mWnLP1bKnHEzPHcLP1EdnjcQPWTzPWDQn9DQPjcdnW0LPjNknjbYn19LnWTQTEDQsjDkTEDKTiYKTEDKTHDQni31Pz3QnWT8nHT3THTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTynOnjn3uHNLsyDzmHDVPARBnzY3mWu6sHEvmWRBnyF-PHm1nEDKPTDKTHTKnHN3sjDvPik1nW9OPEDQTyOdUAkKuHbvuW0zPWI6uH9QnHF-n9&lego_tid=c9038e57-a2a1-4eb3-8b6a-46b5b1be5631,保利城(四期) 2室1厅1卫 2400元月 南北通透,保利城(四期)  洪山-铁机路铁机路,2室1厅|72平米|中层(共34层) 陈华,2400
6,https://wh.zu.anjuke.com/fangyuan/2111362718901250?isauction=2&shangquan_id=32895&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKP1DQP1TYPHNzPW9vnHTKTHcQnHD1PWcLnH9OnjDzPHTKnHnLrHbKnHnLrHbKnikQnTDQPH9KnHmzrjmvP1cknWc3nkDLTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHDYnWN1PHTQrjm3PH9LnH0QrjEKP9DKnEDYuhwWPhuhuiYLPyNQsHwbnWnVmH-bmid-m1Pbnhc1m1n3rjmKnHEzPHndnjDOnWndn1cdPHEzPTDQPjcdn1NknHbznWNzPHbznHc3TEDQsjDkTEDKTiYKTEDKTHDQni31Pz3QnWT8nHT3THTKnTDKnikQn97exEDQnjT1P9DQnjTQPWmYTHmknjcOnhu6sHmvrHmVPAEOnaYOn1-bsHIhm1czrywWPycYPEDKPTDKTHTKnHN3sjDvPik1nW9OPEDQTyOdUAkKuj6WPvm1mhF-ryn1myckmk&lego_tid=600292fa-6696-4d90-939d-7fc229dc5b45,销品茂 群星城附近 保利城精装合租房,保利城一期  洪山-铁机路铁机路132号,3室2厅|15平米|低层(共33层) 樊启晗,800
7,https://wh.zu.anjuke.com/fangyuan/2109799573707783?isauction=2&shangquan_id=32455&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKnWEdrjbYn1ELnHD1njcKTHcQnjbLrHbdP1nLnj0LrjnKPW9OrEDvrjbOTHD_nHTKnHN3THDvnW9vPW0znjczrjnKrT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQPjcdnW0LrHczPH9zP1nzrjTkTHmKTHDKuymYPHE1PHnVuHKWmzYYuyFbsH6WPvmVmWwBPWIWPWmvP1whTHDYnWNzP10OnWcLPH93rHndPW9KnHEzPHcLP1bznWmLrHckPH93rTDKnikQnTDKTEDVTEDKTEDQnHD8n108nHcksWDkrTDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT76PAnvPyRhnaYdPWnvsHE3njTVmHPhnzYznjbYPAP6nv7BnHEKTHEKTEDkTHDdrakQPWN_n1cYPHNKnE78IyQ_THDvrH7WuWKbnjIhPyF6PHE&lego_tid=a4c65ef0-5636-4800-a3f3-20944ca3ab14,关山大道中心 软件园周边新楼盘 APP广场对门 大公馆两房,中建大公馆  洪山-光谷软件园关山大道,2室2厅|79平米|中层(共48层) 王恒,3200
8,https://wh.zu.anjuke.com/fangyuan/2117900249374727?isauction=2&shangquan_id=32455&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKrjTOnWEdPjTvP19QrHbKTHcQnH0OnjTzPjb1P1ELnW0KrH9knTDOrjTkTHD_nHTKnHN3THDvnW9vPW0znjczrjnKrE7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQPjcdnW9OPHczP1ndP1NdnWmYTHmKTHDKnjmQnH9zm1NVmhDYPzYYuym3sycQnhnVuWNdP1w-PWDLnvEzTHDYnWNzrjbdnWnQnWDvn1Dzn1cKnHEzPHc3rHNzn1TQPW0Ln1m1nkDKnikQnTDKTEDVTEDKTEDQnHD8n108nHcksWDkrTDkTHTKTHD_nHDKXLYKnHTkn1mKnHTknHmvPT7hPHEOuWIWuiYLnH66sHEkuhNVrj0zmBd6P1TLuyDkryczmHEKTHEKTEDkTHDdrakQPWN_n1cYPHNKnE78IyQ_THc1PhD3m1NkmHbkrjmQnAN&lego_tid=f549f7ce-718a-40fe-872b-a707ea09b2a4,居家优选 交通教育医疗购物休闲配套齐全！清江山水精装两室一厅,清江山水  洪山-光谷软件园软件园中路10号,2室1厅|90平米|中层(共12层) 郑胜,3000
9,https://wh.zu.anjuke.com/fangyuan/2111264895214602?isauction=2&shangquan_id=32455&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnjb1n1PWnzYLnWDvsHw6mHcVryNYnBYYnHD3mW--PyDznjNKnHELrHNzPjbkPWT3P1TKTHcQnHDzPWE3rHNznHEvnjcKrH9knTDOrjTkTHD_nHTKnHN3THDvnW9vPW0znjczrjnKnHTKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnHEzPjb1PWT3P1ELP19zPHN1P9DvTEDQTyPBP1NLPjnzsHnLujEVPju6uiYOuWwbsyw-njDvuyEdnyDYPTDQPjcYrHnvnj9OrjmYn19YPHDzTHDYnWEOn1mkrjbLPW0OnHNdnWTKTHD_nHTKTEDKsEDKTEDKnHDQsWnLsWDzna3Qnj9KnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWEKn1-bPH6bmyNVmy7BnaYYryP-sH93PAmVPvN3njTYujKBuWbYTEDYTEDKnTDQPH9_nHmdsjnzPjNdTHDKUMR_UTD1uAczmWE1P1mYPv7-nycz&lego_tid=39d58dae-aab0-49ce-884f-7e8004d0bf94,万科红郡 2室2厅1卫 3000元月 南北通透 73平,万科红郡  洪山-光谷软件园武大园路1号,2室2厅|73平米|中层(共32层) 刘琼,3000
