,房屋租住链接,房屋描述,房屋地址,房屋详情（户型）以及经纪人,房屋价格
0,https://wh.zu.anjuke.com/fangyuan/1829595443388427?isauction=2&shangquan_id=32456&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKPHmzn1b1rHEOP1cOPj0KTHD3nWbdrHNYPjn1rj9YnW0KnHE3njTKnHE3njTKnikQnTDQPH9KnHmQnHTdrjNvPW9LnkDQTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD1PHDYP10vPWnvPjmQnjDdnjEKP9DKnEDdnh7-nv76PzdWujmzsHw-mvEVryF6mzYdrHcQPjD3rjnOPhEKnHndnHELP1mvPHmQP1EzPjn3PTDQn1NQPj0LPWmdPHcdnHEdPWTkTEDKTEDKsEDKTy6YIZK1rBtfIv98XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknitKTHD8rHE8nHNQsWnOTHcQnHDYPH9QnEDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKnWRBnhcOuyDVn1w6uiYYnhEOsHbvPAEVm1EdPAwWnHwbnjDdTEDYTEDKnTDQPH9_nHmdsjnzPjNvTHDKUMR_UTDkmHu-nyE1m1TdPvE3uHnY&lego_tid=25b2b9ea-34ae-42d9-964d-c454dc14d015,二号线光谷火车站地铁口天成美景美雅合租单间~条件好谈配套齐全,统建天成美雅  洪山-珞瑜东路光谷一路36号,4室1厅|12平米|中层(共33层) 张露,900
1,https://wh.zu.anjuke.com/fangyuan/1829438546632707?isauction=2&shangquan_id=16085&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKP1nYrj0OPjEOrjckPHcKTHD3nWbYn19dPjmvn1cLnj0KnHnznjTKnHnznjTKnikQnTDQPH9KnHmQnHTdrjNvPW9LnkDzTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD1PHDYPWDYnHTYrjnznHm1rjEKP9DKnEDkPHE3mvD1PiYvuj9ksHwWuWNVrA7BnBdbPyFhPAwbn1NzPhNKnHndnHEvnHEQnjmznHm1nWNQn9DQn1NQPjmQPjDkPHNkn1cdnWE3TEDKTEDKsEDKTy6YIZK1rBtfIv98XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknitKTHD8rHE8nHNQsWnOTHcQnHDYPH9QnEDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKnyc3uHF-m1DVmvw-riYYm1R6syc1uADVrjPBPj6-m1n3njEdTEDYTEDKnTDQPH9_nHmdsjDvnj9dTHDKUMR_UT7WmWEOuHuWmvN3n1FBnH6b&lego_tid=1b8e2ec1-cde9-4c5a-b3da-83b48ec38045,房租月付 拎包入住 板桥新村 湖工大旁边 创意天地 主卧独卫,板桥新村南区  洪山-新南湖南李路,3室2厅|25平米|中层(共32层) 赵蒙蒙,870
2,https://wh.zu.anjuke.com/fangyuan/1779670553093123?isauction=2&shangquan_id=32455&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKPHbLnj9dPjN1PHTOnW0KTHDLP1bvP1TdPHnkrHnQnWnKrH9knTDOrjTkTHD_nHTKnHN3THDvnHDkPH9dPWm3P1nKnk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQn1NQnWckrjDOrjEOPWNknH0vTHmKTHDKrHnOn1cQPyEVnjDzuiYYuW9OsycQuWcVPAcdmvDLnhPBnWNzTHD1PHDznWT3nWDdnHTdrHEdPWDKnHndnHcznj9znHn3njNLPHc1n9DKTEDKTiYKTE7CIZwk01CfsLICsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDfTEDQsWbYsWDdni31rEDznHDQPjN3nHDKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmYTynzPym1PHnLsyNLryDVPADvniY3mWcLsHFhuHcLrHDzPHubnEDKPTDKTHTKnHN3sjDvPik1nWEdPEDQTyOdUAkKrj0kPvwhm1bzrjTOrHDvuE&lego_tid=c25f3537-e79a-4a61-8b27-2fe2791256d1,长城坐标城四房整租 光谷软件园 万科城花璟苑 现代世贸中心,光谷坐标城  洪山-光谷软件园关山大道519号,4室2厅|130平米|高层(共23层) 左嘉文,3500
3,https://wh.zu.anjuke.com/fangyuan/1788461991452682?isauction=2&shangquan_id=32892&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKPj0dnWDYrjckrjbOrH0KTHDLrj9YPWDOrHDYPHcvrjcKrHnknTDOn1TkTHD_nHTKnHN3THDvnHDkPH9dPWm3P1nKPT7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQn1NQPjmLn1nLrjmQnjNkn1m3THmKTHDKnjKWrj66njcVnhwhnzYYujT1syDdPW0VPWDLmvuhuAcOnW93THD1PHDYPW01n19knHckPjN1nHcKnHndnHEvP1n1P1bYnj01rjTYrTDKTEDKTiYKTE7CIZwk01CfsLICsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDfTEDQsWbYsWDdni31rEDznHDQPjN3nHDKnTDKnikQn97exEDQnjT1P9DQnjTQPWmYTHKhPAnYuAwBsyDdnvmVPjuWniY3nH9dsHmdmhP-uHNLPHT1mEDKPTDKTHTKnHN3sjDvrik1nW9On9DQTyOdUAkKn1EOuHmOnW76nju-PHIhuT&lego_tid=0f4c4ddb-a53f-46c1-8185-65bcee57503a,福志友缘 3室1厅1卫 850元月 精装修 电梯房,福志友缘  江夏-文化大道文化大道,3室1厅|11平米|中层(共30层) 宋满,850
4,https://wh.zu.anjuke.com/fangyuan/1829228677948425?isauction=2&shangquan_id=8002&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKPHbznW9OnjEzPHb1PjbKTHD3nWbznW9vP10OPj9YnWNKnHTOnjTKnHTOnjTKnikQnTDQPH9KnHmQnHTdrjNvPW9LnkDdTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD1PHD1rHTvnHDdrj9knjDLrHnKP9DKnEDYrjbLrAnQraY1nHDOsHEkmHcVmHNQPaYYuhPbP1P6uHD3PvnKnHndnHnOnjmQnH0dnHNLrHmYrTDQn1NQn1bkPWDQPWmLPW9OPj0zTEDKTEDKsEDKTy6YIZK1rBtfIv98XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknitKTHD8rHE8nHNQsWnOTHcQnHDYPH9QnEDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKuHEOnhDYPW0VPADQPzYYuynvsycLrAcVm1F6PH6-rARBm10vTEDYTEDKnTDQPH9_P1bOrik3njTzTHDKUMR_UTDvnWcduH7bmWm1ryR6Pvcv&lego_tid=e492a467-4a17-4ec6-b78b-c2a58e8ebc76,建设十一路 工人村 香树花城 阳台房 免押金 可短租家电齐全,绿地香树花城  青山-和平大道和平大道1650号,3室2厅|18平米|中层(共36层) 阳依,800
5,https://wh.zu.anjuke.com/fangyuan/1801034819117059?isauction=2&shangquan_id=8002&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKP1n1n1mzPWNkPH9drHmKTHD3njDkn1E3nHbQnH0kPHbKnHTOnjTKnHTOnjTKnikQnTDQPH9KnHmQnHTdrjNvPW9LnkDvTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD1PjEQPWm1njbYnjcLP1bvPj9KP9DKnEDOrjmOuAnOuiYLryDdsHwhmhmVmWcYmidWnhFWP1FWn191PHNKnHnYPjDvPWnQnj0YrHDdnHc1PTDQn1EYnHmvn1DkPWTvPHE3rHbzTEDKTEDKsEDKTy6YIZK1rBtfIv98XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknitKTHD8rHE8nHNQsWnOTHcQnHDYPH9QnEDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKmH6bnHEYrADVuAmYraYYrHE3sHbOPHbVnW6-uyn1n1DLrHE1TEDYTEDKnTDQPH9_P1bOrik3njTzTHDKUMR_UTDLmW7WP1NLnHRhmH9OPvDd&lego_tid=a8d1448a-df48-4948-9959-28eec3317943,武钢逅朴 无中介 青宜居青康居临江港湾 钰龙时代武汉火车站旁,青康居  青山-和平大道建设十一路,3室1厅|20平米|中层(共18层) 曹景妍,800
6,https://wh.zu.anjuke.com/fangyuan/1806555066114049?isauction=2&shangquan_id=24782&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKP1nvnjTOP1m3nWmvn10KTHD3njmdPHNkPWmQnHEkPjbKrjNknTD3PHTkTHD_nHTKnHN3THDvnHDkPH9dPWm3P1nKPk7AEzdEEzdKib_VOlXxOCB4sXhehrB8Gryc-SB6Jrh6VEDQTHDKTiYQTEDQn1NkrHmOnjm1nHbkn1DkrHDzTHmKTHDKuyn3uyNQrAmVmWPWuBYYnjEksHbOPymVmvRWuWR-m1D1nhmvTHD1PHTOPWbkPWEdnjnQnWnOPWbKnHndnjbvrHTvPjEQnj9YrHc3nTDKTEDKTiYKTE7CIZwk01CfsLICsMGdsh78pMRouiOWUvYfuh78uL-dmy3f0jDfTEDQsWbYsWDdni31rEDznHDQPjN3nHDKnTDKnikQn97exEDQnjT1P9DQnjTQPWmYTHPWnHm3PhFBsHIBuhnVPADzPaYOPWmdsH--mH0kuju6rHmdnEDKPTDKTHTKnHN3sjDdn1nksjcYP19zTHDKUMR_UTDOPH0YnAc1ujwhuA7BnAP6&lego_tid=3c1686bb-7bfc-4a24-9665-9ea70d6a9651,可月付！无租金贷，宁康园舒适次卧，湘隆时代广场对面无中介,宁康园  沌口开发区-体育中心泰康道69号,3室2厅|15平米|低层(共7层) 王秀洋,800
7,https://wh.zu.anjuke.com/fangyuan/1801032734679053?isauction=2&shangquan_id=8002&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKP1n1n1mzPWNkPH9drHmKTHD3njDkn1cLn1EvP1bkPHnKnHTOnjTKnHTOnjTKnikQnTDQPH9KnHmQnHTdrjNvPW9LnkD3TNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD1PjEQPWm1PWcQnHcvnjcQnHnKP9DKnEDdnAFWuhFBPaY1PHcvsHEkujEVrjD3uBYQuW7hnHbOuHwWPyNKnHnYPjDvPWnvn1EYPWn3PWm3rTDQn1EYnHmvn1m1n1EdP1c1n1bzTEDKTEDKsEDKTy6YIZK1rBtfIv98XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknitKTHD8rHE8nHNQsWnOTHcQnHDYPH9QnEDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKPAELPH0zrAmVPH6-uBYYPjn3sHbkrjEVn1T1nyDQPWNQnWnvTEDYTEDKnTDQPH9_P1bOrik3njTzTHDKUMR_UTD3uyw6nhFhmWnYnv7hmWbQ&lego_tid=4d75728f-58ef-4438-9084-3031a1651236,武钢逅朴 无中介 青宜居青康居临江港湾 钰龙时代武汉火车站旁,青康居  青山-和平大道建设十一路,3室1厅|20平米|中层(共18层) 曹景妍,900
8,https://wh.zu.anjuke.com/fangyuan/1790930021508106?isauction=2&shangquan_id=11872&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKPjbdPH0zPWm3PHbLrHcKTHDLrHTOn1TknWDdnj9QnjmKnHcOnjTKnHcOnjTKnikQnTDQPH9KnHmQnHTdrjNvPW9LnkDOTNujsRKjsN72izLMGO4hBstVlU8ml2lbOmBgl2AClpAdTHDKnEDKsHDKTHD1PHTzPHEYPjNdPHN3rj9QnW9KP9DKnE76rynQPynOPBdBPHn3sHw6nHNVmWcQPzYdrADOnHcknjEYuWTKnHndnjcdPjEYPH0QPHcLnHm3nEDQn1NknWNYPjEdPWD3P1b3PHbzTEDKTEDKsEDKTy6YIZK1rBtfIv98XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknitKTHD8rHE8nHNQsWnOTHcQnHDYPH9QnEDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWEKPWb1PWKBrj9VuHT3nzYYuj7bsH9LuWEVnHbzPWw6nywhPjcOTEDYTEDKnTDQPH9_nHmvsjDQrj0zTHDKUMR_UTDkrjI-nhnkujnzPADOnvPh&lego_tid=69360b88-e083-4d1d-87f4-19264a1df429,万科四季花城 欧亚写字楼旁边 金银湖地铁站B口 精装全配,万科四季花城  东西湖-金银湖金山大道特18号,3室1厅|15平米|中层(共7层) 顾云飞,830
9,https://wh.zu.anjuke.com/fangyuan/1825149070631947?isauction=2&shangquan_id=24781&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaY3ujuBPjNYmzYkujRhsHEYrHcVrH01uBd6uAuWPj0kujK-nhNKPW01PW0zn1cOnHcYnjmKTHD3nWNQPjbkP1Tvn1DOPj0KrjNknTD3PHTkTHD_nHTKnHN3THDvnHDkPH9dPWm3P1nKnHTKwbnVNDnVENGssXXMMSpcfzLG8OWCoJH-BFxCCpWGCUNKnEDQTEDVnEDKnHndnHELnHcLrj0zrjEznHnLP9DvTEDQTyc3uynznjn3sHmvmH9VPAEvPiY3mWbOsyN1rjDkrHE1uhNknkDQn1NQPj0QnW03rjbQrHbOnWnzTHD1PHDYP1DzP19LrHD1n1NOn1mKTEDKTEDVTEDKpZwY0ZnlszqLpaOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQskDKni3OPa3QPHD8n1bKnWDQnHEdrjDQTHTKTHD_nHcKXLYKnHTkn1mKnHTknHmvPTDLnjRhuhwWuiYOuHNvsHEYPWcVrjTkPBY3n1-buADzuW9zryDKTHEKTEDkTHDdrakQPHn1nakzPj03nEDQTyOdUAkKnyc1uW6WmyubmycOPA7-PE&lego_tid=705ffdce-9e56-4462-8006-839dda2f829a,特价短租 阳台房 3号线三角湖 嘎纳印象 拎包入住 无中介,嘎纳印象  沌口开发区-金色港湾东风大道56号,4室1厅|12平米|中层(共18层) 汪石,890
